与	giving
横	beside
橋	bridge
機	machine
欠	Lack
次	Next
欲	greed
歯	teeth
歳	age
歴	history
残	remaining
段	step
殺	killing
毒	poison
毛	hair
氏	Mr
民	people
氷	ice
求	request
決	decision
汽	steam
油	oil
治	cure
法	law
波	wave
泣	crying
泳	swimming
洗	washing
活	activity
流	flow
浅	Shallow
浮	floating
浴	bath
消	extinguish
深	deep
清	Qing
済	Already
渡	delivery
温	temperature
港	port
湖	lake
湯	hot water
満	Full
漁	fishing
演	acting
灯	light
炭	charcoal
点	point
無	Nothing
然	Yes
焼	baked
煙	smoke
照	light
熱	heat
牧	Maki
犯	criminal
状	letter
猫	Cat
玉	ball
王	king
現	present
球	ball
産	production
由	reason
申	Monkey
畑	field
留	station
番	number
疑	suspicion
疲	tired
痛	pain
登	climbing
的	target
皆	all
皮	leather
皿	plate
盗	steal
直	straight
相	phase
省	Ministry
眠	sleep
矢	arrow
石	stone
破	broken
確	sure
示	Show
礼	gratitude
祖	ancestor
祝	celebration
神	God
票	vote
祭	Festival
福	Fortune
科	Department
秒	seconds
程	about
種	seed
積	product
突	thrust
窓	window
童	child
競	competition
竹	bamboo
笑	smile
笛	whistle
第	No.
筆	writing brush
等	etc
節	section
算	Calculate
管	tube
箱	box
米	rice
粉	powder
精	spirit
糸	thread
紀	era
約	about
級	class
細	thin
組	set
経	Sutra
結	tie
給	salary
絵	picture
絶	Absolute
続	Sequel
緑	green
緒	string
線	line
練	kneading
罪	sin
置	place
羊	sheep
美	beauty
羽	wing
老	old man
耳	ear
職	job
育	upbringing
胃	stomach
背	back
能	Noh
脈	pulse
腸	intestine
腹	stomach
臣	vassal
舞	dance
航	navigation
船	ship
良	good
芸	art
芽	bud
若	Young
苦	suffering
草	grass
荷	load
落	drop
葉	leaf
薬	medicine
虫	insect
血	blood
術	jutsu
街	city
衣	clothes
表	table
要	required
規	rules
覚	Awakening
観	view
角	corner
解	Solution
訓	lesson
記	Record
訪	visit
許	Huh
詩	poetry
認	approval
誤	mistake
説	theory
誰	Who
課	Division
調	tone
談	story
論	theory
識	consciousness
警	police
議	discussion
谷	valley
豆	beans
象	elephant
貝	shellfish
負	negative
財	wealth
貧	poverty
貨	currency
責	responsibility
貯	savings
費	expense
資	capital
賛	Praise
賞	award
越	Pass
路	road
身	Body
軍	army
輪	ring
辞	address
農	agriculture
辺	side
込	included
迎	welcoming
返	return
迷	hesitation
追	addition
退	withdraw
逃	escape
途	way
速	speed
連	Communicating
進	advancement
遅	late
遊	play
過	excess
達	reached
違	difference
遠	Far
適	Suitable
選	selection
郡	county
部	Department
都	capital
配	delivery
酒	Liquor
里	village
量	amount
鉄	iron
録	record
鏡	mirror
閉	closed
関	Seki
阪	Osaka
降	fall
限	limit
除	remove
陸	land
険	dangerous
陽	sun
隊	corps
階	floor
際	edge
雑	rough
難	difficulty
雪	snow
雲	cloud
静	stillness
非	non
面	surface
靴	shoes
章	chapter
頂	top
順	order
頭	Head
頼	reliance
顔	face
願	wishes
類	kind
飛	flight
養	nourishment
首	neck
馬	Horse
髪	hair
鳴	ringing
麦	wheat
黄	yellow
鼻	nose
